time,ControlsOut.TS_current,CellVoltages.MinVoltage
777.3272,9.321,
777.3302,9.194,
777.3352,9.660001,
777.3392,9.672001,
777.3422,9.68,
777.3472,10.885,
777.3502,11.529,
777.3552,11.529,
777.3592,12.09,
777.3632,12.809001,
777.3672,13.378,
777.3702,13.774001,
777.3752,14.119,
777.3792,14.434001,
777.3822,14.286,
777.3872,14.2560005,
777.3898,14.108001,
777.3948,14.212001,
777.3988,14.286,
777.4018,14.200001,
777.4068,14.070001,
777.4098,14.070001,
777.4148,13.877001,
777.4188,14.099001,
777.4218,13.991001,
777.4268,13.826,
777.4298,13.846001,
777.4348,14.096001,
777.4388,13.926001,
777.4418,13.952001,
777.4468,13.791,
777.4498,13.9210005,
777.4538,13.870001,
777.4578,14.012001,
777.4628,14.012001,
777.4658,14.163001,
777.4698,14.163001,
777.4748,14.163001,
777.4778,14.3220005,
777.4818,14.219001,
777.4858,13.916,
777.4908,13.622001,
777.4938,13.184001,
777.4959,,3.3673
777.4988,13.184001,
777.5028,12.802001,
777.5068,13.059001,
777.5098,13.721001,
777.5148,14.31,
777.5188,14.353001,
777.5218,14.225,
777.5258,14.118001,
777.5298,13.982,
777.5348,14.080001,
777.5378,14.224001,
777.5418,14.134001,
777.5468,14.134001,
777.5498,14.056001,
777.5538,13.908001,
777.5588,14.227,
777.5638,13.961,
777.5668,13.996,
777.5708,13.963,
777.5738,14.188001,
777.5778,14.18,
777.5818,14.069,
777.5858,14.082001,
777.5898,14.211,
777.5948,14.211,
777.5988,14.368001,
777.6028,14.779,
777.6068,14.892001,
777.6098,14.971001,
777.6148,15.315001,
777.6188,15.687,
777.6218,15.648001,
777.6268,15.910001,
777.6298,15.910001,
777.6348,16.069,
777.6388,15.862,
777.6418,15.9140005,
777.6468,15.925001,
777.6508,16.116001,
777.6548,15.919001,
777.6588,15.821001,
777.6618,15.85,
777.6658,15.748001,
777.6698,15.748001,
777.6748,15.748001,
777.6788,15.935,
777.6818,15.798,
777.6868,15.710001,
777.6898,15.8880005,
777.6938,15.766001,
777.6961,,3.3581
777.6988,15.766001,
777.7018,15.886001,
777.7068,15.975,
777.7108,15.799001,
777.7148,16.051,
777.7188,15.6710005,
777.7218,15.674001,
777.7268,15.648001,
777.7298,15.487,
777.7348,15.044001,
777.7378,14.687,
777.7418,14.276001,
777.7458,13.644001,
777.7508,13.644001,
777.7538,12.954,
777.7588,12.7300005,
777.7638,12.670001,
777.7668,12.170001,
777.7698,12.227,
777.7738,12.218,
777.7778,12.275001,
777.7818,12.374001,
777.7868,12.364,
777.7908,12.364,
777.7948,12.375001,
777.7988,12.3220005,
777.8028,12.583,
777.8068,12.38,
777.8098,12.433001,
777.8148,12.648001,
777.8188,12.497001,
777.8218,12.549001,
777.8268,12.629001,
777.8308,12.629001,
777.8348,12.486001,
777.8388,12.491,
777.8418,12.491,
777.8468,12.371,
777.8498,12.309001,
777.8548,12.545001,
777.8588,12.465,
777.8628,12.602,
777.8658,12.699,
777.8698,12.699,
777.8748,12.699,
777.8788,12.552001,
777.8818,12.545001,
777.8868,12.738001,
777.8898,12.499001,
777.8938,12.700001,
777.8956,,3.3542
777.8988,12.700001,
777.9018,12.402,
777.9068,12.402,
777.9108,12.634001,
777.9148,12.578001,
777.9188,12.614,
777.9218,12.715,
777.9268,12.7630005,
777.9298,12.476001,
777.9348,12.629001,
777.9388,12.787001,
777.9428,12.665001,
777.9468,12.698001,
777.9498,12.681001,
777.9548,12.681001,
777.9588,12.525001,
777.9618,12.64,
777.9668,12.863001,
777.9708,12.795001,
777.9748,12.821001,
777.9788,12.728001,
777.9828,12.813001,
777.9868,12.864,
777.9898,12.710001,
777.9948,12.762001,
777.9988,12.762001,
778.0018,12.891001,
778.0068,12.93,
778.0108,13.22,
778.0148,13.2300005,
778.0188,12.797001,
778.0218,13.109,
778.0268,13.109,
778.0298,13.203001,
778.0338,13.377001,
778.0388,13.2560005,
778.0418,13.302001,
778.0468,13.386001,
778.0498,13.690001,
778.0548,13.898001,
778.0588,14.067,
778.0638,14.05,
778.0658,14.173,
778.0698,14.173,
778.0748,14.173,
778.0788,14.253,
778.0818,14.079,
778.0868,14.279,
778.0898,14.341001,
778.0938,13.785001,
778.0988,13.785001,
778.1018,14.081,
778.105,,3.3585
778.1068,13.843,
778.1098,13.843,
778.1148,14.118001,
778.1188,14.151001,
778.1218,14.176001,
778.1268,14.287001,
778.1298,14.172001,
778.1338,14.048,
778.1378,14.114,
778.1418,14.420001,
778.1468,14.420001,
778.1498,14.366001,
778.1538,14.025001,
778.1588,14.216001,
778.1628,14.204,
778.1668,14.204,
778.1708,14.114,
778.1748,14.063001,
778.1788,14.073001,
778.1818,13.962001,
778.1868,13.962001,
778.1898,14.154,
778.1938,14.252001,
778.1988,14.065001,
778.2028,14.012001,
778.2068,14.250001,
778.2098,14.116001,
778.2148,14.382001,
778.2188,14.382001,
778.2218,14.223001,
778.2268,14.337001,
778.2308,14.341001,
778.2338,14.2300005,
778.2388,14.258,
778.2428,13.998001,
778.2458,13.919001,
778.2498,13.919001,
778.2548,14.238001,
778.2588,14.411,
778.2618,14.356001,
778.2658,14.281001,
778.2698,14.281001,
778.2748,14.281001,
778.2788,14.087001,
778.2818,13.790001,
778.2868,13.790001,
778.2898,13.856001,
778.2938,13.442,
778.2956,,3.3554
778.2988,13.442,
778.3028,13.077001,
778.3058,13.114,
778.3108,12.503,
778.3148,12.028001,
778.3188,11.610001,
778.3218,11.281,
778.3268,10.584001,
778.3298,10.584001,
778.3338,10.218,
778.3388,10.081,
778.3418,9.797001,
778.3468,9.369,
778.3498,9.141001,
778.3538,9.106001,
778.3588,8.722,
778.3618,8.679001,
778.3668,8.6,
778.3698,8.325001,
778.3738,8.271001,
778.3778,7.998,
778.3818,7.998,
778.3868,7.5030003,
778.3898,7.1910005,
778.3938,6.7730002,
778.3983,6.135,
778.4013,5.8360004,
778.4053,5.5330005,
778.4093,5.097,
778.4143,4.546,
778.4173,4.149,
778.4213,4.138,
778.4253,4.097,
778.4293,4.142,
778.4333,4.142,
778.4383,4.2720003,
778.4413,4.214,
778.4463,4.552,
778.4493,4.7050004,
778.4543,4.7050004,
778.4573,5.0730004,
778.4633,5.4620004,
778.4653,5.432,
778.4693,5.432,
778.4743,5.432,
778.4783,5.6330004,
778.4813,5.7040005,
778.4863,5.5150003,
778.4903,5.3820004,
778.4933,5.492,
778.497,,3.3545
778.4983,5.492,
778.5023,5.5420003,
778.5063,5.334,
778.5093,5.247,
778.5143,5.4360003,
778.5183,5.4360003,
778.5213,5.313,
778.5263,5.2060003,
778.5303,5.011,
778.5333,5.235,
778.5383,5.0740004,
778.5413,5.076,
778.5463,5.045,
778.5493,5.045,
778.5543,5.103,
778.5583,5.1200004,
778.5623,5.189,
778.5663,5.084,
778.5703,5.1080003,
778.5733,5.2260003,
778.5773,5.0800004,
778.5813,4.7720003,
778.5863,4.7050004,
778.5893,4.4680004,
778.5943,4.275,
778.5983,4.1670003,
778.6013,4.1670003,
778.6063,3.6510003,
778.6093,3.6510003,
778.6143,3.2070003,
778.6183,3.1920002,
778.6213,2.93,
778.6253,2.686,
778.6293,2.7810001,
778.6333,2.7450001,
778.6383,2.7450001,
778.6413,2.6940002,
778.6463,2.8130002,
778.6493,2.706,
778.6533,2.7570002,
778.6573,2.854,
778.6613,2.8750002,
778.6653,2.927,
778.6693,2.927,
778.6743,2.927,
778.6773,3.183,
778.6813,3.0360003,
778.6853,2.9050002,
778.6893,2.848,
778.6933,2.848,
778.6963,,3.3673
778.6983,2.848,
778.7013,2.877,
778.7053,2.8000002,
778.7103,2.798,
778.7143,2.6680002,
778.7183,2.456,
778.7223,2.456,
778.7263,2.4280002,
778.7293,2.237,
778.7343,2.002,
778.7383,1.7060001,
778.7413,1.6580001,
778.7453,1.6710001,
778.7503,1.6650001,
778.7533,1.651,
778.7573,1.5270001,
778.7633,1.659,
778.7663,1.667,
778.7693,1.5630001,
778.7733,1.6190001,
