time,ControlsOut.LowestCell,ControlsOut.VL_est,CellVoltages.MinVoltage,ControlsIn.TS_cell_low,ControlsOut.VOC,ControlsOut.Pedal,ControlsIn.TS_current,ControlsOut.TS_current,ControlsOut.TS_voltage,Energy_used kWh,ControlsOut.SoC
0.6144,,,,3.9720998,,,0.001,,,,
0.6174,,,,3.9720998,,,0.006,,,,
0.6174,3.9720998,3.972108,,,3.9723477,0.0,,0.006,0.42400002,-4.8509228e-11,0.8670268
0.6214,3.9720998,3.9721093,,,3.9723477,0.0,,-0.0050000004,0.46600002,-4.5922925e-11,0.8670268
0.6214,,,,3.9720998,,,-0.0050000004,,,,
0.6244,3.9720998,3.9721093,,,3.9723477,0.0,,-0.0,0.46600002,-4.5922925e-11,0.8670268
0.6254,,,,3.9720998,,,-0.0,,,,
0.6294,,,,3.9720998,,,0.003,,,,
0.6294,3.9720998,3.9721088,,,3.9723477,0.0,,0.003,0.38200003,-4.7194984e-11,0.8670268
0.6334,3.9720998,3.9721107,,,3.9723477,0.0,,-0.008,0.46600002,-4.3056902e-11,0.8670268
0.6334,,,,3.9720998,,,-0.008,,,,
0.6374,,,,3.9720998,,,0.011000001,,,,
0.6374,3.9720998,3.9721084,,,3.9723477,0.0,,0.011000001,0.509,-4.927179e-11,0.8670268
0.6414,3.9720998,3.972107,,,3.9723477,0.0,,0.008,0.42400002,-5.303691e-11,0.8670268
0.6414,,,,3.9720998,,,0.008,,,,
0.6454,,,,3.9720998,,,0.008,,,,
0.6454,3.9720998,3.9721057,,,3.9723477,0.0,,0.008,0.254,-5.5292434e-11,0.8670268
0.6494,3.9720998,3.9721048,,,3.9723477,0.0,,0.008,0.21200001,-5.7174994e-11,0.8670268
0.6494,,,,3.9720998,,,0.008,,,,
0.6534,,,,3.9720998,,,-0.002,,,,
0.6534,3.9720998,3.972106,,,3.9723477,0.0,,-0.002,0.46600002,-5.6140474e-11,0.8670268
0.6574,3.9720998,3.9721053,,,3.9723477,0.0,,0.006,0.33900002,-5.839822e-11,0.8670268
0.6574,,,,3.9720998,,,0.006,,,,
0.6614,3.9720998,3.9721057,,,3.9723477,0.0,,0.001,0.551,-5.9009825e-11,0.8670268
0.6614,,,,3.9720998,,,0.001,,,,
